time_stamp,sensor_index,humidity,temperature,PM2.5_ATM_ug/m3,PM25_Source,NO2_Density,NO2_Source,DateTime_UTC,DateTime,Temp_C,Rain_mm,Pressure_hPa,WindSpeed_kmh,WindDir_sin,WindDir_cos,Hour,Month,DayOfWeek,Is_Weekend,Hour_sin,Hour_cos,Month_sin,Month_cos,DOW_sin,DOW_cos,Lag_1h,Lag_2h,Lag_3h,Lag_6h,Lag_12h,Lag_24h,Lag_48h,Roll3h_mean,Roll3h_std,Roll6h_mean,Roll6h_std,Roll24h_mean,Roll24h_std,AQI,Split
1641139200,12451,100.0,83.0,16.5,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-02 16:00:00,2022-01-02 21:30:00,22.0,0.0,957.8,15.1,0.9510565162951536,-0.30901699437494734,16,1,6,1,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,21.5,26.8,29.0,18.9,34.4,4.6,31.3,25.766666666666662,3.855299383100282,23.566666666666666,5.19948715419767,17.779166666666665,10.076100831721295,60,train
1641142800,12451,100.0,83.0,9.9,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-02 17:00:00,2022-01-02 22:30:00,22.0,0.0,957.5,15.2,0.9702957262759965,-0.24192189559966779,17,1,6,1,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,16.5,21.5,26.8,16.8,15.7,4.3,18.1,21.599999999999994,5.150728103870366,23.166666666666668,5.698654812029465,18.275,9.68455740722895,41,train
1641146400,12451,100.0,83.0,9.0,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-02 18:00:00,2022-01-02 23:30:00,21.6,0.0,957.3,14.4,0.9743700647852352,-0.22495105434386503,18,1,6,1,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,9.9,16.5,21.5,28.4,22.7,6.2,15.6,15.966666666666663,5.81836173964229,22.016666666666666,7.6145693684322415,18.508333333333336,9.396387680873723,38,train
1641150000,12451,100.0,82.0,10.2,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-02 19:00:00,2022-01-03 00:30:00,21.4,0.0,956.8,13.5,0.9876883405951378,-0.1564344650402308,19,1,6,1,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,9.0,9.9,16.5,29.0,36.9,7.9,18.0,11.799999999999997,4.095119045888636,18.783333333333335,8.436448699936877,18.625,9.253213307913054,42,train
1641153600,12451,100.0,82.0,4.2,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-02 20:00:00,2022-01-03 01:30:00,21.7,0.0,955.9,12.8,0.984807753012208,-0.1736481776669303,20,1,6,1,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10.2,9.0,9.9,26.8,24.7,6.1,18.9,9.699999999999998,0.6244997998396983,15.649999999999999,7.29732827821251,18.720833333333335,9.148626847150664,18,train
1641157200,12451,100.0,81.0,5.8,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-02 21:00:00,2022-01-03 02:30:00,21.6,0.0,955.3,13.8,0.9945218953682733,-0.10452846326765355,21,1,6,1,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,4.2,10.2,9.0,21.5,18.2,6.8,14.1,7.799999999999998,3.174901573277475,11.883333333333333,6.130388785930843,18.641666666666666,9.270003830338629,24,train
1641160800,12451,100.0,81.0,9.8,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-02 22:00:00,2022-01-03 03:30:00,21.5,0.0,954.8,13.8,0.9876883405951378,-0.1564344650402308,22,1,6,1,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,5.8,4.2,10.2,16.5,18.9,7.6,19.1,6.733333333333331,3.1069813860615745,9.266666666666667,4.274420038632918,18.6,9.327612118119356,41,train
1641164400,12451,100.0,80.0,7.3,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-02 23:00:00,2022-01-03 04:30:00,21.5,0.0,954.8,14.8,0.9975640502598242,-0.06975647374412533,23,1,6,1,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,9.8,5.8,4.2,9.9,16.8,9.3,19.1,6.599999999999998,2.8844410203711512,8.15,2.5232915011944175,18.691666666666666,9.22505645872516,30,train
1641168000,12451,100.0,81.0,18.4,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-03 00:00:00,2022-01-03 05:30:00,21.8,0.0,955.2,13.7,0.9986295347545738,-0.05233595624294384,0,1,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,7.3,9.8,5.8,9.0,28.4,9.3,35.1,7.633333333333332,2.0207259421636374,7.716666666666668,2.3819459831546648,18.60833333333333,9.322106342810446,64,train
1641168000,12451,100.0,81.0,18.4,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-03 00:00:00,2022-01-03 05:30:00,63,,,,,,0,1,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,18.4,7.3,9.8,10.2,29.0,16.8,21.6,11.83333333333333,5.82265689641191,9.283333333333333,5.022515969777163,18.9875,9.109684884541961,64,train
1641171600,12451,100.0,81.0,33.1,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-03 01:00:00,2022-01-03 06:30:00,21.8,0.0,955.8,13.0,0.9945218953682733,-0.10452846326765355,1,1,0,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.0,1.0,18.4,18.4,7.3,4.2,26.8,23.6,54.4,14.699999999999998,6.408587988004838,10.649999999999999,6.280047770518944,19.054166666666664,9.098828360631494,95,train
1641175200,12451,100.0,82.0,37.3,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-03 02:00:00,2022-01-03 07:30:00,22.5,0.0,957.0,13.9,0.984807753012208,-0.1736481776669303,2,1,0,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.0,1.0,33.1,18.4,18.4,5.8,21.5,30.2,23.6,23.299999999999997,8.4870489570875,15.466666666666669,10.201895248759746,19.45,9.502859981399657,105,train
1641178800,12451,100.0,83.0,26.5,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-03 03:00:00,2022-01-03 08:30:00,23.5,0.0,958.0,19.5,0.9993908270190958,-0.034899496702500955,3,1,0,0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.0,1.0,37.3,33.1,18.4,9.8,16.5,34.4,17.9,29.599999999999994,9.924212815130478,20.71666666666667,12.15128251118649,19.745833333333334,9.951970710090183,81,train
1641182400,12451,100.0,84.0,10.6,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-03 04:00:00,2022-01-03 09:30:00,24.4,0.0,958.2,19.4,0.9998476951563913,-0.017452406437283477,4,1,0,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0,26.5,37.3,33.1,7.3,9.9,15.7,14.6,32.3,5.444263035526479,23.5,11.009632146443403,19.416666666666668,9.569501675575419,44,train
1641186000,12451,100.0,85.0,13.4,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-03 05:00:00,2022-01-03 10:30:00,25.5,0.0,957.9,21.3,0.9993908270190958,0.03489949670250108,5,1,0,0,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0.0,1.0,10.6,26.5,37.3,18.4,9.0,22.7,15.8,24.799999999999994,13.430934442547173,24.05,10.081815312730143,19.204166666666666,9.711198339463875,54,train
1641189600,12451,100.0,85.0,39.7,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-03 06:00:00,2022-01-03 11:30:00,26.6,0.0,957.4,18.4,1.0,6.123233995736766e-17,6,1,0,0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0,1.0,13.4,10.6,26.5,18.4,10.2,36.9,8.4,16.83333333333333,8.4878344313101,23.21666666666667,10.821721982506604,18.816666666666666,9.751105474304676,111,train
1641193200,12451,100.0,86.0,19.2,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-03 07:00:00,2022-01-03 12:30:00,26.9,0.1,956.6,16.9,1.0,6.123233995736766e-17,7,1,0,0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.0,1.0,39.7,13.4,10.6,33.1,4.2,24.7,7.8,21.23333333333333,16.05376383697397,26.766666666666666,12.316114105782987,18.933333333333334,9.990676813329811,66,train
1641196800,12451,100.0,85.0,11.6,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-03 08:00:00,2022-01-03 13:30:00,26.2,0.7,955.7,16.9,0.9998476951563913,0.0174524064372836,8,1,0,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0.0,1.0,19.2,39.7,13.4,37.3,5.8,18.2,13.2,24.099999999999994,13.817742217887838,24.450000000000003,12.193235829754135,18.704166666666666,9.915445972853659,48,train
1641200400,12451,100.0,86.0,10.3,PurpleAir_Ground,5.264080300544717e-06,Interpolated,2022-01-03 09:00:00,2022-01-03 14:30:00,25.3,0.3,954.9,15.8,1.0,6.123233995736766e-17,9,1,0,0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0.0,1.0,11.6,19.2,39.7,26.5,9.8,18.9,23.2,23.499999999999996,14.535129858381037,20.166666666666668,11.254273262484197,18.429166666666667,10.020998785882911,43,train
