time_stamp,sensor_index,humidity,temperature,pm2.5_atm,datetime,pm2.5_corrected,aqi
1770393600,173211,67,85,21.5,2026-02-06 16:00:00,11.4302,55.34143726235742
1770368400,173211,70,86,19.0,2026-02-06 09:00:00,9.842,52.382433460076044
1781755200,173211,86,85,7.2,2026-06-18 04:00:00,2.1904000000000003,12.16888888888889
1778659200,173211,66,92,18.6,2026-05-13 08:00:00,9.966000000000001,52.61346007604563
1769619600,173211,59,87,41.0,2026-01-28 17:00:00,22.5184,76.0000608365019
1772838000,173211,69,85,35.6,2026-03-06 23:00:00,18.7908,69.05510266159696
1772827200,173211,66,87,39.3,2026-03-06 20:00:00,21.0198,73.20799239543726
1777960800,173211,57,95,6.1,2026-05-05 06:00:00,4.050599999999999,22.50333333333333
1780750800,173211,76,89,7.0,2026-06-06 13:00:00,2.9276,16.264444444444443
1772888400,173211,58,91,29.9,2026-03-07 13:00:00,16.6754,65.11386311787072
1771401600,173211,49,94,7.8,2026-02-18 08:00:00,5.6336,31.297777777777778
1771383600,173211,65,86,33.2,2026-02-18 03:00:00,17.8468,67.296319391635
1771452000,173211,64,83,16.1,2026-02-18 22:00:00,8.799800000000001,48.887777777777785
1774072800,173211,52,96,11.8,2026-03-21 06:00:00,7.516400000000001,41.75777777777778
1774116000,173211,68,88,21.7,2026-03-21 18:00:00,11.4526,55.3831711026616
1774069200,173211,50,96,14.9,2026-03-21 05:00:00,9.340600000000002,51.44826615969582
1769245200,173211,57,91,17.0,2026-01-24 09:00:00,9.871200000000002,52.43683650190115
1769295600,173211,68,84,20.0,2026-01-24 23:00:00,10.544799999999999,53.69183269961977
1777273200,173211,57,96,7.5,2026-04-27 07:00:00,4.7982,26.656666666666663
1777827600,173211,69,90,13.9,2026-05-03 17:00:00,7.203000000000001,40.01666666666667
1777802400,173211,58,96,5.4,2026-05-03 10:00:00,3.5924000000000005,19.95777777777778
1777834800,173211,72,88,6.2,2026-05-03 19:00:00,2.838,15.766666666666666
1777824000,173211,66,91,16.0,2026-05-03 16:00:00,8.5776,47.653333333333336
1779289200,173211,75,90,5.0,2026-05-20 15:00:00,1.944,10.799999999999999
1779242400,173211,77,89,2.7,2026-05-20 02:00:00,0.5469999999999997,3.038888888888887
